#{"t_start": 1780861332.801356, "env_id": "None"}
r,l,t,target
69.18926,48,2083.904597,clay
67.072909,48,2088.325681,clay
76.517555,17,2091.307638,clay
48.166321,29,2094.955806,clay
80.941097,18,2098.154081,clay
64.902961,51,2102.679025,clay
80.766418,25,2106.326303,clay
60.930492,20,2109.702373,clay
38.095826,73,2115.518152,clay
72.448366,51,2120.166076,clay
62.644685,29,2123.738385,clay
65.361078,20,2126.672119,clay
80.02065,17,2130.294658,clay
38.803873,89,2136.481751,clay
99.711502,15,2139.198658,clay
63.222642,50,2143.792999,clay
93.787347,18,2147.988605,clay
90.710492,17,2151.138447,clay
90.450492,18,2154.756855,clay
59.721453,48,2159.443914,clay
52.869895,78,2166.910227,clay
78.839836,28,2170.758037,clay
64.779155,25,2174.164227,clay
60.278384,31,2177.732156,clay
68.737656,17,2180.457978,clay
73.124345,47,2185.135125,clay
75.180078,29,2189.218404,clay
55.946817,34,2193.671111,clay
59.232544,60,2200.262247,clay
82.54,11,2203.185601,clay
36.176839,48,2208.529133,clay
62.546625,28,2212.218963,clay
34.02,28,2216.720637,clay
53.617288,37,2220.500969,clay
79.536187,15,2223.133225,clay
47.598145,19,2226.195367,clay
72.60713,19,2229.369085,clay
87.0,8,2232.077181,clay
49.657655,22,2235.761049,clay
104.44,11,2238.73942,clay
68.273913,29,2242.450557,clay
54.953125,67,2247.656957,clay
69.499993,37,2252.016777,clay
85.15,20,2254.930402,clay
76.585346,12,2258.652131,clay
60.496706,37,2262.4503,clay
67.725394,27,2266.079869,clay
77.108366,14,2268.952808,clay
54.003714,33,2273.279611,clay
46.14,26,2276.975267,clay
61.303258,23,2280.311299,clay
79.06,19,2283.331436,clay
83.637656,23,2286.846334,clay
56.440632,49,2291.388357,clay
53.542843,26,2295.020044,clay
95.211097,16,2297.936121,clay
93.48,17,2300.932193,clay
78.55,10,2303.788521,clay
72.256817,18,2306.938934,clay
89.46,14,2309.951952,clay
78.021916,25,2313.671374,clay
59.806625,22,2317.040748,clay
70.335047,17,2319.962955,clay
75.929154,19,2322.961847,clay
72.08683,43,2327.3152,clay
75.491854,16,2330.412297,clay
81.720492,11,2333.575049,clay
71.272331,32,2337.873491,clay
93.476559,14,2340.880255,clay
71.686033,27,2344.408696,clay
60.406022,43,2348.566831,clay
79.574214,22,2352.138932,clay
31.652099,53,2356.653179,clay
55.114797,59,2362.103014,clay
79.06,24,2365.318576,clay
85.58,7,2367.803774,clay
88.578728,23,2371.241095,clay
82.008127,25,2374.844778,clay
63.386049,46,2380.681761,clay
80.25,23,2383.693251,clay
89.976559,19,2387.4328,clay
79.173157,12,2390.078246,clay
80.620901,26,2393.744087,clay
60.355974,46,2398.701987,clay
61.095858,29,2402.54834,clay
59.857854,38,2406.594428,clay
69.08,17,2410.024273,clay
79.482006,28,2413.672213,clay
88.51,7,2416.01598,clay
61.532944,37,2420.391336,clay
69.68,27,2423.888049,clay
73.598065,19,2426.881491,clay
