#{"t_start": 1780717463.1922045, "env_id": "None"}
r,l,t,target
-45.983425,100,1813.911573,clay
82.947982,16,1817.161367,clay
21.977821,71,1826.03239,clay
-68.23009,100,1833.984807,log
75.16377,24,1837.977738,log
50.398907,58,1844.168397,log
55.109249,31,1849.62686,clay
-70.778782,100,1857.564487,clay
-37.436097,100,1866.316868,clay
-41.079066,100,1874.916582,log
60.967984,65,1881.653216,log
-6.818437,100,1890.61963,log
17.957974,57,1895.99553,diamond_ore
-38.925278,100,1904.688135,diamond_ore
-47.216089,100,1912.564997,diamond_ore
-36.008969,100,1921.555454,diamond_ore
28.881699,53,1926.668112,diamond_ore
-36.809179,100,1935.254777,diamond_ore
-43.055976,100,1945.378075,clay
-40.750519,100,1953.963611,clay
23.925349,95,1961.843446,clay
87.4,7,1964.946481,log
50.623442,27,1970.610842,log
-72.39388,100,1979.956328,log
54.866765,35,1984.49544,clay
-48.646811,100,1994.146314,
61.066106,26,1998.284115,clay
-40.610263,100,2006.696778,diamond_ore
72.490666,19,2010.383379,diamond_ore
63.035777,26,2015.030399,diamond_ore
46.763414,47,2019.697531,diamond_ore
87.767836,11,2023.258093,diamond_ore
-34.161218,100,2032.214025,diamond_ore
62.897777,43,2036.996341,log
43.651853,54,2042.091235,log
-43.606781,100,2050.157198,log
-74.103243,100,2058.092893,log
47.211889,68,2064.748072,log
27.977145,74,2071.229182,log
82.330492,10,2074.053396,clay
19.694502,61,2080.104531,clay
51.66739,53,2085.282675,clay
-36.845267,100,2093.710017,
53.790173,38,2098.145504,clay
-34.005797,100,2106.603284,clay
95.063442,15,2109.864972,diamond_ore
68.436948,26,2113.487809,diamond_ore
50.685946,25,2116.93051,diamond_ore
-38.241588,100,2124.859253,clay
78.783442,11,2128.149114,clay
17.218716,68,2134.95688,clay
75.35409,21,2140.215191,diamond_ore
-64.40636,100,2148.579909,diamond_ore
-22.918253,100,2156.762671,diamond_ore
-33.135567,100,2164.489592,log
71.127887,18,2167.990062,log
59.195964,25,2171.823601,log
67.906887,64,2178.335546,diamond_ore
-69.606504,100,2187.154462,diamond_ore
86.035047,17,2190.662379,diamond_ore
50.919484,52,2195.843366,log
51.487893,66,2202.436568,log
66.181776,19,2205.733138,log
-38.741812,100,2214.357749,diamond_ore
-41.879458,100,2222.664917,diamond_ore
-59.01867,100,2230.764316,diamond_ore
99.397922,13,2233.858836,log
-64.927253,100,2242.275239,log
65.614902,27,2247.248376,log
53.33586,23,2250.922064,clay
-60.603555,100,2258.778996,clay
54.650821,47,2264.202164,clay
-44.963553,100,2273.674429,log
83.043479,13,2276.91925,log
52.024949,58,2283.415471,log
21.875143,48,2288.781927,clay
-45.091839,100,2297.081766,clay
-33.965475,100,2305.993257,clay
20.259434,80,2313.447053,diamond_ore
39.685753,47,2317.817899,diamond_ore
26.971597,75,2324.139267,diamond_ore
-7.84,100,2332.506515,clay
55.725494,44,2337.430538,clay
89.753759,21,2341.255685,clay
-38.66007,100,2349.673067,diamond_ore
70.753523,39,2353.932275,diamond_ore
-64.438405,100,2362.434036,diamond_ore
-33.720772,100,2371.111087,diamond_ore
64.841869,44,2376.017217,diamond_ore
-63.288304,100,2385.117051,diamond_ore
-10.904143,100,2393.431215,diamond_ore
38.748914,84,2401.097253,diamond_ore
51.51459,53,2408.337845,diamond_ore
-39.328011,100,2417.981848,
-8.861476,100,2425.976062,log
-64.74348,100,2434.595698,log
-33.176097,100,2442.950941,log
-33.402704,100,2451.368362,log
29.540112,53,2457.017628,log
23.671123,57,2462.177155,clay
-44.286696,100,2469.906589,clay
71.98889,44,2474.797711,clay
-7.013546,100,2483.861861,log
63.597229,65,2490.603675,log
47.466674,60,2496.559645,log
-5.874454,100,2505.921589,clay
-46.814968,100,2514.315038,clay
-35.58957,100,2523.722793,clay
-53.699711,100,2532.228477,clay
90.11,4,2535.084933,clay
65.552301,27,2539.607388,clay
55.755199,84,2547.779855,diamond_ore
67.356684,37,2552.611272,diamond_ore
-7.262576,100,2561.487274,diamond_ore
87.053011,19,2565.228232,diamond_ore
42.345505,90,2574.968601,diamond_ore
-37.86814,100,2584.149281,diamond_ore
99.40545,13,2587.445013,log
22.482404,96,2595.90377,log
25.394699,58,2602.755953,log
57.029834,35,2607.125577,diamond_ore
-75.396453,100,2614.799718,diamond_ore
-61.223908,100,2623.358891,diamond_ore
72.683442,16,2626.705072,clay
19.759989,94,2635.684488,clay
-62.330892,100,2643.781493,clay
47.3632,92,2652.194724,clay
59.95228,19,2656.363918,clay
-47.847948,100,2665.556809,clay
-40.69894,100,2673.871346,log
-30.639136,100,2682.740611,log
35.178281,65,2689.128623,log
89.11536,21,2693.100557,log
-2.042933,76,2699.860716,log
45.500812,53,2705.855485,log
-43.261638,100,2713.932183,clay
66.145474,43,2718.937343,clay
50.526871,65,2725.353093,clay
-29.017401,100,2734.430469,log
78.867993,24,2738.339219,log
55.952328,45,2744.236167,log
77.18,18,2748.483172,diamond_ore
-6.986492,100,2757.396686,diamond_ore
57.64422,46,2762.564109,diamond_ore
-49.437326,100,2772.902153,clay
29.795648,54,2778.697556,clay
46.823496,85,2788.579915,clay
48.850981,92,2795.399903,log
86.364214,13,2798.333953,log
-30.344654,100,2806.96784,log
-59.249764,100,2815.031932,
-5.442941,100,2823.810588,log
26.247097,63,2830.448754,log
83.387045,16,2834.918741,clay
81.922909,13,2838.018617,clay
-37.366837,100,2846.584725,clay
28.347558,68,2852.814733,diamond_ore
31.758731,32,2856.941585,diamond_ore
75.130039,23,2861.074851,diamond_ore
52.555047,26,2864.917089,diamond_ore
53.460694,94,2872.828763,diamond_ore
63.304798,66,2879.042599,diamond_ore
-8.502782,98,2887.506313,clay
69.068473,23,2891.484505,clay
15.577862,83,2899.892336,clay
-42.473458,100,2908.414171,log
24.912791,75,2915.107509,log
69.762387,38,2919.394251,log
74.359476,21,2923.444251,log
63.441488,27,2927.635987,log
53.255091,44,2932.866347,log
-42.841604,100,2941.294042,diamond_ore
30.056497,71,2948.384906,diamond_ore
32.797989,80,2955.455481,diamond_ore
33.363582,72,2963.601954,clay
10.939099,77,2970.694322,clay
81.372994,8,2973.667342,clay
-8.182196,100,2981.513081,clay
-61.927497,100,2992.474534,clay
46.548557,34,2997.386561,clay
92.690492,5,3000.101465,log
-8.848116,100,3008.765525,log
-54.314763,100,3018.277223,log
101.441282,15,3021.28906,diamond_ore
-30.98998,100,3030.099031,diamond_ore
-66.805101,100,3038.519466,diamond_ore
23.276574,76,3046.068325,diamond_ore
61.78,27,3050.388255,diamond_ore
-18.946965,100,3059.189937,diamond_ore
95.07,4,3061.829935,clay
28.632352,96,3070.262069,clay
-49.602967,100,3078.286314,clay
69.517506,35,3082.952095,diamond_ore
31.757076,73,3089.69663,diamond_ore
93.81,4,3092.761567,diamond_ore
40.119051,64,3101.114148,log
9.749035,83,3109.147319,log
-42.498642,100,3117.096854,log
85.178473,20,3120.860203,clay
72.151526,48,3127.44893,clay
65.646843,25,3131.598392,clay
83.17,9,3136.003249,log
74.810927,21,3139.311164,log
58.052663,31,3143.658348,log
-7.379189,100,3152.988125,log
-5.782881,100,3161.500607,log
23.638793,51,3167.456315,log
95.200492,14,3170.594696,clay
81.476799,25,3174.545494,clay
-42.807684,100,3183.236562,clay
88.13,12,3186.738347,diamond_ore
-63.881341,100,3195.780444,
-70.660677,100,3203.927071,diamond_ore
103.76,9,3207.937247,clay
59.164453,73,3216.159348,clay
64.947985,19,3219.756114,clay
51.639155,51,3224.860199,diamond_ore
57.256629,31,3229.606375,diamond_ore
36.25525,36,3234.335098,diamond_ore
58.676619,58,3240.439764,clay
35.598829,40,3245.547457,clay
30.498608,74,3252.875424,clay
62.336024,48,3258.413683,clay
-13.740175,100,3266.351995,clay
-37.886581,100,3274.942637,clay
68.418874,34,3279.47415,log
73.862951,47,3285.072884,log
-39.089228,100,3294.591889,log
-36.978029,100,3303.250288,diamond_ore
47.136563,79,3311.465514,diamond_ore
88.91,11,3314.496072,diamond_ore
13.556657,67,3321.09777,clay
-10.736478,100,3329.342542,clay
81.079798,13,3333.057055,clay
-4.700766,64,3339.335601,diamond_ore
96.136125,13,3343.288417,diamond_ore
52.179857,67,3350.208482,diamond_ore
-23.482083,100,3359.101,log
73.083855,34,3363.597337,log
47.93145,69,3370.128504,log
-13.324481,100,3379.362344,diamond_ore
67.700508,60,3385.401382,diamond_ore
60.202944,35,3390.304713,diamond_ore
90.32018,13,3394.505318,log
16.66376,88,3402.701297,log
-40.337905,100,3411.383264,log
-35.680678,100,3420.538244,clay
-16.041193,100,3430.85727,clay
102.963622,11,3434.078163,clay
71.199114,51,3439.335687,diamond_ore
-26.033143,100,3448.309726,diamond_ore
58.149107,32,3453.61035,diamond_ore
81.761019,18,3457.711254,log
-23.390053,100,3465.295733,log
-4.435953,100,3474.036469,log
35.001933,62,3480.371575,log
-46.907279,100,3489.051517,log
67.803795,48,3495.012123,log
-35.537711,100,3503.919991,clay
56.260725,44,3509.249711,clay
49.806989,88,3518.535214,clay
14.642418,100,3526.967607,diamond_ore
47.660673,59,3533.454283,diamond_ore
80.445236,26,3537.770772,diamond_ore
54.058286,43,3542.827305,diamond_ore
-12.989626,100,3550.91007,diamond_ore
78.643185,10,3554.880344,diamond_ore
-13.447265,100,3563.849896,log
69.028852,47,3568.956284,log
87.59,7,3571.68718,log
91.804214,14,3575.465006,clay
-55.68721,100,3584.319142,clay
56.77136,44,3589.910367,clay
-61.776745,100,3598.439756,log
91.84,6,3601.19887,log
37.165817,53,3608.145844,log
-8.01907,95,3616.091595,diamond_ore
74.354214,15,3619.307775,diamond_ore
-41.423617,100,3628.497338,diamond_ore
38.65262,83,3635.885144,clay
-36.141222,100,3645.759986,clay
84.85,15,3649.394749,clay
55.591782,50,3654.711849,diamond_ore
-33.345436,100,3663.312617,diamond_ore
85.880472,17,3666.853985,diamond_ore
71.044276,22,3670.932175,clay
-20.56405,100,3679.234818,clay
-14.231504,100,3686.96915,
65.000783,43,3692.130498,log
63.623186,53,3698.382248,log
31.068244,96,3706.41633,log
-36.376869,100,3715.350022,diamond_ore
54.408529,99,3723.791433,diamond_ore
83.52,9,3727.009913,diamond_ore
-1.558248,100,3735.676086,clay
105.136559,9,3738.663131,clay
86.205045,20,3742.26954,clay
-25.167542,100,3750.861911,log
59.701873,34,3755.336774,log
74.996128,26,3759.418494,log
94.351078,16,3762.941455,clay
89.029937,19,3766.187558,clay
68.599141,31,3770.167181,clay
-41.327944,100,3777.884318,clay
51.745232,72,3785.833777,clay
37.551034,33,3791.143813,clay
105.72,8,3794.065677,diamond_ore
34.773427,36,3798.872129,diamond_ore
-56.864056,100,3807.619651,diamond_ore
57.297527,68,3814.201102,diamond_ore
54.924175,26,3818.433695,diamond_ore
57.22,30,3822.749845,diamond_ore
-49.209305,100,3831.414474,log
102.917515,13,3835.178292,log
99.496945,13,3838.463222,log
60.168769,32,3843.296422,log
87.371914,20,3846.742847,log
-31.169196,100,3854.666695,log
48.241405,29,3859.067442,log
54.652524,95,3868.604528,log
55.895386,88,3877.110766,log
61.679063,28,3880.600106,clay
87.58,7,3883.758762,clay
84.33,7,3887.343285,clay
-15.969646,100,3895.53333,diamond_ore
54.547549,46,3900.934932,diamond_ore
-33.448019,100,3909.071962,diamond_ore
78.555966,13,3912.493368,clay
52.66091,38,3917.236225,clay
39.273192,94,3926.117363,clay
73.340711,44,3931.114202,log
-10.12533,100,3939.417688,log
28.387754,93,3947.979404,log
-36.456597,100,3958.461205,diamond_ore
86.133626,10,3961.864374,diamond_ore
-47.549492,100,3970.2428,diamond_ore
102.486927,11,3973.297552,clay
96.686458,15,3977.052534,clay
66.824652,46,3982.061518,clay
-7.496596,100,3991.463836,
57.536715,42,3996.570485,log
80.42957,17,4000.449371,log
86.299408,14,4003.794163,diamond_ore
49.500964,58,4009.964817,diamond_ore
68.270688,31,4013.920694,diamond_ore
-41.581705,100,4022.214687,clay
-72.420718,100,4031.666317,clay
52.652681,69,4038.280272,clay
91.743635,18,4041.846937,log
109.765966,7,4045.747014,log
91.096458,7,4048.767152,log
57.394096,37,4053.331396,diamond_ore
49.729064,32,4058.017941,diamond_ore
-43.753377,100,4067.31833,diamond_ore
65.778692,30,4071.584687,clay
54.274201,83,4078.557852,clay
80.264165,24,4082.741159,clay
-55.033924,100,4091.358157,
62.432371,27,4096.505553,diamond_ore
41.140168,53,4102.713789,diamond_ore
-17.547989,100,4110.63254,clay
54.764972,62,4116.599138,clay
-4.744795,100,4125.318542,clay
-23.271811,100,4135.127561,log
88.120995,20,4138.739245,log
109.18,7,4141.559184,log
47.151619,34,4146.471126,log
91.378918,18,4151.50118,log
-6.679399,100,4159.943694,log
73.717673,24,4165.071221,diamond_ore
94.776458,5,4167.561073,diamond_ore
60.412466,48,4172.888104,diamond_ore
81.171781,18,4177.935178,diamond_ore
-33.576838,100,4186.710765,diamond_ore
74.760597,15,4189.972477,diamond_ore
82.695966,11,4192.929027,clay
54.361174,54,4199.218192,clay
-11.661926,100,4207.470785,clay
58.276845,57,4213.384526,log
-23.152093,100,4222.543551,log
35.275871,31,4226.936213,log
-62.550034,100,4235.515588,diamond_ore
-59.181831,100,4244.511657,diamond_ore
-21.218808,100,4253.515412,diamond_ore
36.57973,70,4260.000175,diamond_ore
59.254662,82,4267.07995,diamond_ore
26.426915,83,4275.0771,diamond_ore
28.80449,75,4282.095553,diamond_ore
72.652501,36,4286.585388,diamond_ore
61.586922,27,4290.454334,diamond_ore
45.106181,69,4297.144343,log
52.562702,86,4304.543035,log
-28.363807,100,4313.536241,log
1.893357,100,4322.445462,log
69.078003,35,4328.572474,log
66.075107,28,4332.893004,log
-62.16384,100,4342.183989,clay
2.708685,95,4351.886172,clay
-30.297568,100,4360.46278,clay
63.970046,31,4364.460347,log
-36.303453,100,4373.44254,log
33.927054,65,4379.699226,log
-10.839406,100,4389.461066,clay
58.412046,43,4394.869285,clay
95.37,14,4397.978945,clay
78.358515,13,4401.79239,clay
75.92,18,4405.954216,clay
70.929489,20,4409.530945,clay
72.059869,18,4413.405478,log
92.46,5,4415.853951,log
62.651053,97,4424.49678,log
-32.895016,100,4433.394963,clay
19.06731,90,4440.982238,clay
83.28,7,4444.002527,clay
81.379484,19,4448.046293,diamond_ore
67.19726,27,4452.752205,diamond_ore
72.711654,23,4456.65666,diamond_ore
