#{"t_start": 1780971857.810436, "env_id": "None"}
r,l,t,task_success,target
132.63655,23,4674.993073,True,potato
129.265404,22,4684.689388,True,potato
118.05624,24,4694.229667,True,potato
133.677042,23,4704.126637,True,carrot
128.417727,17,4712.437149,True,carrot
131.971815,30,4722.687207,True,carrot
131.192438,22,4732.626219,True,wheat
153.619986,22,4742.446912,True,wheat
126.576541,23,4752.073092,True,wheat
131.93141,25,4761.661101,True,carrot
131.794048,30,4773.389344,True,carrot
0.662105,26,4783.688244,False,carrot
31.852418,75,4801.027773,False,wheat
-4.305372,40,4812.849181,False,wheat
21.867398,65,4827.120411,False,wheat
130.935454,24,4837.722063,True,potato
164.054445,19,4846.938923,True,potato
131.423557,21,4856.387441,True,potato
129.719958,25,4866.153777,True,potato
134.473008,24,4875.693071,True,potato
152.152822,26,4885.784798,True,potato
5.664974,22,4895.083536,False,wheat
130.840591,35,4905.913986,True,wheat
131.174048,28,4916.151657,True,wheat
130.207234,24,4926.225586,True,carrot
132.63655,22,4935.798084,True,carrot
128.180958,17,4944.422084,True,carrot
133.558138,29,4954.77414,True,wheat
-4.460293,30,4966.642132,False,wheat
23.91627,47,4978.259089,False,wheat
131.95655,24,4989.275531,True,carrot
129.338823,17,4998.124015,True,carrot
132.24655,23,5007.718498,True,carrot
131.881507,21,5017.092346,True,potato
130.703557,24,5026.729186,True,potato
146.569799,26,5036.735779,True,potato
147.998823,23,5046.52715,True,wheat
145.686185,22,5056.998636,True,wheat
125.097727,30,5067.166006,True,wheat
130.551274,21,5076.542294,True,carrot
113.636235,23,5085.587486,True,carrot
132.379365,23,5095.540389,True,carrot
131.308873,24,5105.310168,True,potato
130.200767,24,5114.843227,True,potato
127.929344,25,5124.358758,True,potato
128.76246,22,5134.591427,True,potato
167.181767,21,5145.170134,True,potato
129.853459,32,5156.218271,True,potato
151.5865,22,5165.984537,True,carrot
148.915281,23,5177.427706,True,carrot
132.01655,25,5187.070511,True,carrot
130.21246,27,5197.537489,True,wheat
126.732259,28,5208.664833,True,wheat
111.427777,28,5218.252918,True,wheat
133.227647,24,5228.746233,True,potato
132.6555,25,5238.927593,True,potato
150.945049,19,5248.705349,True,potato
131.14251,25,5258.287822,True,carrot
127.587727,19,5267.675469,True,carrot
128.773952,19,5277.38406,True,carrot
131.856992,23,5287.08805,True,wheat
47.229803,200,5317.096916,False,wheat
-5.497158,28,5327.277709,False,wheat
128.079178,27,5338.712596,True,wheat
7.280538,23,5347.903178,False,wheat
118.863952,18,5357.220689,True,wheat
133.21655,20,5366.720925,True,carrot
131.627823,22,5375.922922,True,carrot
128.978015,20,5388.399054,True,carrot
133.383606,22,5397.964817,True,potato
131.980613,22,5410.483176,True,potato
130.963557,25,5420.445825,True,potato
132.790187,29,5430.104749,True,potato
128.778823,21,5440.078403,True,potato
126.890958,21,5449.880959,True,potato
144.814444,27,5459.545545,True,wheat
122.67655,21,5469.694762,True,wheat
18.248302,74,5484.576342,False,wheat
128.398694,25,5493.815069,True,carrot
130.60246,21,5503.807424,True,carrot
128.573952,19,5513.652834,True,carrot
